course,name,cmid,views,uniqusers,vpu,students,teachers,vps,fracstudents
0,forum,2729633,458.0,39.0,11.743589743589745,57,2,8.035087719298245,0.6842105263157895
0,resource,2729636,124.0,51.0,2.431372549019608,57,2,2.175438596491228,0.8947368421052632
0,folder,2729637,103.0,43.0,2.395348837209302,57,2,1.8070175438596487,0.7543859649122807
0,folder,2729638,90.0,38.0,2.3684210526315788,57,2,1.5789473684210529,0.6666666666666666
0,folder,2729639,82.0,36.0,2.2777777777777777,57,2,1.4385964912280702,0.631578947368421
0,folder,2729640,68.0,28.0,2.4285714285714284,57,2,1.1929824561403508,0.4912280701754385
0,folder,2729641,69.0,26.0,2.6538461538461537,57,2,1.2105263157894737,0.4561403508771929
0,folder,2729642,56.0,22.0,2.5454545454545454,57,2,0.9824561403508772,0.3859649122807017
0,folder,2729643,55.0,21.0,2.619047619047619,57,2,0.9649122807017544,0.3684210526315789
0,folder,2729644,65.0,23.0,2.8260869565217392,57,2,1.1403508771929824,0.4035087719298245
0,resource,2729646,56.0,30.0,1.8666666666666667,57,2,0.9824561403508772,0.5263157894736842
0,resource,2729647,0.0,0.0,0.0,57,2,0.0,0.0
0,resource,2729649,158.0,49.0,3.224489795918368,57,2,2.771929824561404,0.8596491228070176
0,quiz,2729650,1202.0,57.0,21.087719298245613,57,2,21.087719298245613,1.0
0,forum,2729651,46.0,25.0,1.84,57,2,0.8070175438596491,0.4385964912280701
0,quiz,2729652,829.0,56.0,14.803571428571429,57,2,14.543859649122806,0.9824561403508772
0,quiz,2729653,822.0,58.0,14.172413793103448,57,2,14.421052631578949,1.0175438596491229
0,quiz,2729654,997.0,57.0,17.49122807017544,57,2,17.49122807017544,1.0
0,quiz,2729655,2.0,2.0,1.0,57,2,0.0350877192982456,0.0350877192982456
0,folder,2729656,204.0,46.0,4.434782608695652,57,2,3.5789473684210527,0.8070175438596491
0,resource,2729657,133.0,44.0,3.022727272727273,57,2,2.333333333333333,0.7719298245614035
0,resource,2729658,84.0,34.0,2.4705882352941178,57,2,1.4736842105263157,0.5964912280701754
0,resource,2729659,55.0,28.0,1.9642857142857144,57,2,0.9649122807017544,0.4912280701754385
0,resource,2729660,37.0,22.0,1.681818181818182,57,2,0.6491228070175439,0.3859649122807017
0,resource,2729661,61.0,27.0,2.259259259259259,57,2,1.0701754385964912,0.4736842105263157
0,resource,2729662,34.0,21.0,1.619047619047619,57,2,0.5964912280701754,0.3684210526315789
0,resource,2729663,21.0,14.0,1.5,57,2,0.3684210526315789,0.2456140350877192
0,resource,2729664,30.0,18.0,1.6666666666666667,57,2,0.5263157894736842,0.3157894736842105
0,resource,2729665,36.0,19.0,1.894736842105263,57,2,0.631578947368421,0.3333333333333333
0,resource,2729666,31.0,17.0,1.8235294117647056,57,2,0.543859649122807,0.2982456140350877
0,resource,2729667,24.0,19.0,1.263157894736842,57,2,0.4210526315789473,0.3333333333333333
0,folder,2786607,26.0,13.0,2.0,57,2,0.4561403508771929,0.2280701754385964
0,resource,2805497,315.0,50.0,6.3,57,2,5.526315789473684,0.8771929824561403
0,resource,2846612,72.0,37.0,1.945945945945946,57,2,1.263157894736842,0.6491228070175439
0,resource,2853810,410.0,51.0,8.03921568627451,57,2,7.192982456140351,0.8947368421052632
0,quiz,2854249,167.0,49.0,3.4081632653061225,57,2,2.929824561403509,0.8596491228070176
0,attendance,2854373,10.0,1.0,10.0,57,2,0.175438596491228,0.0175438596491228
0,quiz,2860094,1011.0,56.0,18.053571428571427,57,2,17.736842105263158,0.9824561403508772
0,quiz,2862119,963.0,55.0,17.509090909090908,57,2,16.894736842105264,0.9649122807017544
0,quiz,2862130,716.0,56.0,12.785714285714286,57,2,12.56140350877193,0.9824561403508772
0,quiz,2862147,662.0,55.0,12.036363636363635,57,2,11.614035087719298,0.9649122807017544
0,quiz,2862197,452.0,55.0,8.218181818181819,57,2,7.929824561403507,0.9649122807017544
0,resource,2887874,11.0,8.0,1.375,57,2,0.1929824561403508,0.1403508771929824
